0,5
0.138889,6.1525
0.277778,6.7801
0.416667,7.54597
0.555556,8.10932
0.694444,8.67838
0.833333,9.0188
0.972222,9.2796
1.11111,9.38788
1.25,9.6296
1.38889,9.71792
1.52778,9.79082
1.66667,9.838
1.80556,9.92922
1.94444,9.7788
2.08333,9.76916
2.22222,9.88002
2.36111,9.898
2.5,9.93958
2.63889,9.872
2.77778,9.8
2.91667,9.82882
3.05556,9.93922
3.19444,9.9908
3.33333,10.00922
3.47222,9.98
3.61111,10.0004
3.75,9.97717
3.88889,10.05074
4.02778,10.0449
4.16667,10.1092
4.30556,10.03525
4.44444,10.02955
4.58333,10.0308
4.72222,10.01959
4.86111,9.95682
5,9.974
5.13889,10.0425
5.27778,10.0304
5.41667,10.08812
5.55556,10.09885
5.69444,10.0188
5.83333,10.0392
5.97222,9.942
6.11111,9.96649
6.25,9.982
6.38889,10.10368
6.52778,10.11122
6.66667,10.15072
6.80556,10.01004
6.94444,10.09882
7.08333,10.0892
7.22222,10.0391
7.36111,10.00002
7.5,10.0092
7.63889,9.9949
7.77778,9.99082
7.91667,10
8.05556,9.96432
8.19444,9.9264
8.33333,9.9478
8.47222,9.84
8.61111,9.91203
8.75,9.98
8.88889,10.04205
9.02778,10.08922
9.16667,10.02545
9.30556,10.08958
9.44444,10.158
9.58333,10.13024
9.72222,10.04961
9.86111,10.09198
10,10.21732
