0,5
0.138889,5.6141
0.277778,6.06727
0.416667,6.38988
0.555556,6.74109
0.694444,7.03034
0.833333,7.21538
0.972222,7.409
1.11111,7.585
1.25,7.71248
1.38889,7.9009
1.52778,8.01949
1.66667,8.15047
1.80556,8.27627
1.94444,8.35
2.08333,8.47231
2.22222,8.58854
2.36111,8.68233
2.5,8.7109
2.63889,8.7178
2.77778,8.7927
2.91667,8.8522
3.05556,8.91818
3.19444,9.0213
3.33333,9.04953
3.47222,9.1413
3.61111,9.20414
3.75,9.28964
3.88889,9.31166
4.02778,9.40042
4.16667,9.46832
4.30556,9.39998
4.44444,9.42872
4.58333,9.42678
4.72222,9.53085
4.86111,9.5688
5,9.55
5.13889,9.61748
5.27778,9.67128
5.41667,9.68958
5.55556,9.688
5.69444,9.72344
5.83333,9.67821
5.97222,9.63958
6.11111,9.67918
6.25,9.65918
6.38889,9.72202
6.52778,9.724
6.66667,9.72078
6.80556,9.74281
6.94444,9.7196
7.08333,9.7404
7.22222,9.752
7.36111,9.7927
7.5,9.71875
7.63889,9.71836
7.77778,9.77253
7.91667,9.7896
8.05556,9.77205
8.19444,9.80995
8.33333,9.90678
8.47222,9.85762
8.61111,9.9
8.75,9.86962
8.88889,9.94275
9.02778,9.93359
9.16667,9.9271
9.30556,9.9092
9.44444,9.90882
9.58333,9.92672
9.72222,9.98035
9.86111,10.01885
10,10.0108
